1, 101, 4.584, 0, 0, 133549, 
2, 102, 4.492, 0, 0, 133593, 
3, 101, 4.584, 0, 0.0295798, 0, 
4, 102, 4.492, 0, 0.0295798, 0, 
5, 105, 4.453, 0, 0.0295798, 133636, 
6, 106, 4.461, 0, 0.0295798, 133679, 
7, 101, 4.586, 0, 0.0271092, 173, 
8, 102, 4.497, 0, 0.0271092, 172, 
9, 105, 4.453, 0, 0.0271092, 0, 
10, 106, 4.461, 0, 0.0271092, 0, 
11, 101, 4.582, 0, 0.0268669, 173, 
12, 102, 4.497, 0, 0.0268669, 0, 
13, 105, 4.458, 0, 0.0268669, 172, 
14, 106, 4.468, 0, 0.0268669, 172, 
15, 101, 4.582, 0, 0.0142571, 0, 
16, 102, 4.491, 0, 0.0142571, 173, 
17, 105, 4.457, 0, 0.0142571, 173, 
18, 106, 4.468, 0, 0.0142571, 0, 
19, 101, 4.58, 0, 0.0383534, 172, 
20, 102, 4.491, 0, 0.0383534, 0, 
21, 105, 4.457, 0, 0.0383534, 0, 
22, 106, 4.468, 0, 0.0383534, 173, 
23, 101, 4.58, 0, 0.0219431, 0, 
24, 102, 4.491, 0, 0.0219431, 0, 
25, 105, 4.454, 0, 0.0219431, 173, 
26, 106, 4.465, 0, 0.0219431, 173, 
27, 101, 4.586, 0, 0.0344873, 173, 
28, 102, 4.489, 0, 0.0344873, 345, 
29, 105, 4.454, 0, 0.0344873, 0, 
30, 106, 4.465, 0, 0.0344873, 0, 
31, 101, 4.586, 0, 0.00749534, 0, 
32, 102, 4.489, 0, 0.00749534, 0, 
33, 105, 4.455, 0, 0.00749534, 172, 
34, 106, 4.465, 0, 0.00749534, 172, 
35, 101, 4.582, 0, 0.0421579, 172, 
36, 102, 4.492, 0, 0.0421579, 173, 
37, 105, 4.453, 0, 0.0421579, 173, 
38, 106, 4.465, 0, 0.0421579, 0, 
39, 101, 4.579, 0, 0.0318933, 173, 
40, 102, 4.492, 0, 0.0318933, 0, 
41, 105, 4.453, 0, 0.0318933, 0, 
42, 106, 4.461, 0, 0.0318933, 173, 
